"Year","id","Pvalue","slope","correlation"
2012,16,0.016,0.536,0.361
2013,16,0.005,0.67,0.413
2014,16,0,1.107,0.592
2015,16,0,1.867,0.717
9999,17,0,0.323,0.274
2009,17,0.001,0.376,0.317
2010,17,0.001,0.454,0.324
2011,17,0,0.7,0.47
2012,17,0,1.002,0.567
2013,17,0,1.013,0.623
2014,17,0,1.355,0.655
2015,17,0,1.751,0.724
9999,18,0,0.145,0.18
2009,18,0.002,0.231,0.322
2010,18,0,0.674,0.601
2011,18,0,0.99,0.721
2012,18,0,1.143,0.736
2013,18,0,1.165,0.713
2014,18,0,1.431,0.672
2015,18,0,1.708,0.671
9999,19,0,0.237,0.268
2009,19,0,0.371,0.501
2010,19,0,0.665,0.622
2011,19,0,0.763,0.615
2012,19,0,1.014,0.687
2013,19,0,1.076,0.65
2014,19,0,1.097,0.584
2015,19,0,1.113,0.582
9999,20,0,0.559,0.58
2009,20,0,0.489,0.685
2010,20,0,0.589,0.729
2011,20,0,0.669,0.745
2012,20,0,0.836,0.759
2013,20,0,0.886,0.732
2014,20,0,1.145,0.743
2015,20,0,1.328,0.763
9999,21,0,1.25,0.507
2009,21,0,1.04,0.357
2010,21,0,1.951,0.625
2011,21,0,2.301,0.677
2012,21,0,2.562,0.854
2013,21,0,2.255,0.881
2014,21,0,3.045,0.858
2015,21,0,3.301,0.89
9999,23,0,0.55,0.431
2009,23,0,1.196,0.811
2010,23,0.001,1.264,0.765
2011,23,0.001,1.292,0.757
2012,23,0.001,1.429,0.763
2013,23,0.001,1.432,0.752
2014,23,0.001,1.689,0.767
2015,23,0.001,1.908,0.742
9999,24,0,0.585,0.651
2009,24,0,0.797,0.844
2010,24,0,0.731,0.826
2011,24,0,0.679,0.795
2012,24,0,0.759,0.805
2013,24,0,0.77,0.777
2014,24,0,0.844,0.75
2015,24,0,0.925,0.744
9999,25,0.031,0.265,0.226
2009,25,0.014,0.889,0.659
2010,25,0.133,0.581,0.439
2011,25,0.213,0.506,0.371
2012,25,0.2,0.575,0.38
2013,25,0.194,0.594,0.385
2014,25,0.2,0.678,0.38
2015,25,0.189,0.814,0.389
9999,26,0,0.346,0.312
2009,26,0,0.555,0.542
2010,26,0,0.965,0.7
2011,26,0,1.174,0.739
2012,26,0,1.383,0.769
2013,26,0,1.313,0.77
2014,26,0,1.565,0.763
2015,26,0,1.803,0.707
9999,27,0,0.233,0.312
2009,27,0,0.358,0.508
2010,27,0,0.463,0.535
2011,27,0,0.685,0.663
2012,27,0,0.793,0.671
2013,27,0,0.794,0.669
2014,27,0,0.833,0.67
2015,27,0,0.827,0.689
9999,28,0,0.419,0.367
2009,28,0,0.819,0.641
2010,28,0,0.686,0.566
2011,28,0,0.537,0.444
2012,28,0,0.569,0.454
2013,28,0,0.486,0.424
2014,28,0,0.674,0.498
2015,28,0,0.736,0.473
9999,29,0,0.712,0.432
2009,29,0,0.812,0.467
2010,29,0,1.336,0.7
2011,29,0,1.621,0.744
2012,29,0,1.819,0.762
2013,29,0,1.992,0.773
2014,29,0,1.978,0.721
2015,29,0,2.401,0.774
9999,30,0,0.6,0.641
2009,30,0,0.631,0.761
2010,30,0,0.629,0.751
2011,30,0,0.621,0.695
2012,30,0,0.725,0.707
2013,30,0,0.669,0.66
2014,30,0,0.771,0.652
2015,30,0,1.033,0.704
9999,31,0,0.326,0.27
2009,31,0.005,0.312,0.289
2010,31,0.001,0.396,0.351
2011,31,0,0.516,0.431
2012,31,0.002,0.476,0.324
2013,31,0.042,0.317,0.211
2014,31,0.009,0.557,0.27
2015,31,0.002,0.679,0.315
9999,32,0,0.4,0.5
2009,32,0.165,0.283,0.364
2010,32,0.031,0.373,0.539
2011,32,0.015,0.435,0.595
2012,32,0.001,0.638,0.739
2013,32,0.001,0.818,0.755
2014,32,0,1.258,0.777
2015,32,0,1.707,0.875
9999,33,0.077,0.416,0.213
2009,33,0.056,1.51,0.62
2010,33,0.066,1.76,0.602
2011,33,0.028,1.857,0.688
2012,33,0.04,1.7,0.656
2013,33,0.104,2.154,0.544
2014,33,0.031,2.44,0.677
2015,33,0.027,3.25,0.692
9999,34,0,0.382,0.568
2009,34,0,0.671,0.817
2010,34,0,0.66,0.851
2011,34,0,0.627,0.842
2012,34,0,0.6,0.824
2013,34,0,0.64,0.803
2014,34,0,0.718,0.787
2015,34,0,0.774,0.765
9999,35,0,0.513,0.436
2009,35,0.011,0.442,0.439
2010,35,0.004,0.556,0.483
2011,35,0.002,0.588,0.523
2012,35,0.007,0.52,0.459
2013,35,0.01,0.521,0.439
2014,35,0.009,0.559,0.448
2015,35,0.016,0.587,0.416
9999,36,0,0.326,0.265
2009,36,0,0.841,0.548
2010,36,0,0.869,0.544
2011,36,0,0.912,0.562
2012,36,0,0.879,0.549
2013,36,0,0.811,0.5
2014,36,0,1.057,0.517
2015,36,0,1.53,0.619
9999,37,0,0.444,0.398
2009,37,0,0.795,0.619
2010,37,0,0.942,0.666
2011,37,0,1.013,0.709
2012,37,0,1.086,0.714
2013,37,0,1.159,0.683
2014,37,0,1.392,0.669
2015,37,0,1.408,0.632
9999,38,0,0.569,0.698
2009,38,0,0.406,0.62
2010,38,0,0.537,0.706
2011,38,0,0.586,0.736
2012,38,0,0.683,0.78
2013,38,0,0.606,0.737
2014,38,0,0.687,0.761
2015,38,0,0.721,0.683
9999,39,0,0.19,0.229
2009,39,0,0.385,0.441
2010,39,0,0.683,0.68
2011,39,0,1.001,0.807
2012,39,0,1.253,0.86
2013,39,0,1.25,0.848
2014,39,0,1.488,0.785
2015,39,0,1.559,0.777
9999,40,0,1.241,0.753
2009,40,0,1.222,0.838
2010,40,0,1.343,0.869
2011,40,0,1.464,0.884
2012,40,0,1.591,0.889
2013,40,0,1.662,0.904
2014,40,0,1.93,0.901
2015,40,0,2.004,0.842
9999,41,0,0.264,0.303
2009,41,0.001,0.387,0.547
2010,41,0,0.584,0.609
2011,41,0,0.721,0.674
2012,41,0,0.812,0.724
2013,41,0,0.98,0.736
2014,41,0,1.282,0.777
2015,41,0,1.675,0.806
9999,42,0,0.447,0.379
2009,42,0,0.615,0.637
2010,42,0,1.033,0.7
2011,42,0,1.111,0.639
2012,42,0,1.205,0.692
2013,42,0,1.265,0.736
2014,42,0,1.663,0.746
2015,42,0,1.912,0.815
9999,44,0.38,0.09,0.153
2009,44,0.04,0.846,0.896
2010,44,0.035,1.003,0.905
2011,44,0.096,1.005,0.811
2012,44,0.124,1.024,0.775
2013,44,0.123,1.223,0.776
2014,44,0.164,1.427,0.727
2015,44,0.182,1.814,0.707
9999,45,0,0.407,0.462
2009,45,0,0.669,0.801
2010,45,0,0.741,0.805
2011,45,0,0.815,0.805
2012,45,0,0.916,0.8
2013,45,0,1.169,0.806
2014,45,0,1.417,0.755
2015,45,0,1.466,0.75
9999,46,0,0.297,0.406
2009,46,0,0.394,0.599
2010,46,0,0.353,0.481
2011,46,0.001,0.304,0.419
2012,46,0.001,0.28,0.391
2013,46,0.001,0.306,0.396
2014,46,0.002,0.325,0.378
2015,46,0,0.451,0.53
9999,47,0,0.442,0.312
2009,47,0,0.711,0.576
2010,47,0,1.081,0.603
2011,47,0,1.405,0.692
2012,47,0,1.545,0.7
2013,47,0,1.653,0.751
2014,47,0,2.107,0.766
2015,47,0,2.273,0.761
9999,48,0,0.485,0.466
2009,48,0,0.565,0.546
2010,48,0,0.604,0.581
2011,48,0,0.65,0.611
2012,48,0,0.739,0.619
2013,48,0,0.71,0.58
2014,48,0,0.857,0.573
2015,48,0,0.771,0.505
9999,49,0.051,0.12,0.137
2009,49,0.248,0.195,0.221
2010,49,0.051,0.411,0.366
2011,49,0.051,0.4,0.366
2012,49,0.045,0.434,0.375
2013,49,0.052,0.443,0.365
2014,49,0.058,0.474,0.357
2015,49,0.077,0.393,0.333
9999,50,0,0.63,0.422
2009,50,0.006,1.241,0.693
2010,50,0,1.396,0.822
2011,50,0.001,1.429,0.784
2012,50,0,1.439,0.816
2013,50,0,1.72,0.812
2014,50,0.001,1.781,0.782
2015,50,0,2.029,0.836
9999,51,0,1.753,0.547
2009,51,0,1.618,0.526
2010,51,0,1.84,0.563
2011,51,0,2.084,0.564
2012,51,0,2.895,0.703
2013,51,0,3.15,0.811
2014,51,0,3.791,0.83
2015,51,0,4.299,0.883
9999,53,0,0.698,0.523
2009,53,0,0.843,0.753
2010,53,0,0.931,0.773
2011,53,0,1.111,0.807
2012,53,0,1.287,0.798
2013,53,0,1.4,0.782
2014,53,0,1.747,0.758
2015,53,0,1.892,0.754
9999,54,0,1.756,0.57
2009,54,0.008,1.109,0.355
2010,54,0.001,1.483,0.446
2011,54,0,1.712,0.457
2012,54,0,2.578,0.703
2013,54,0,2.576,0.789
2014,54,0,2.547,0.797
2015,54,0,2.458,0.791
9999,55,0,0.378,0.434
2009,55,0,0.687,0.674
2010,55,0,0.74,0.749
2011,55,0,0.767,0.756
2012,55,0,0.789,0.728
2013,55,0,0.809,0.738
2014,55,0,0.991,0.744
2015,55,0,1.225,0.796
9999,56,0.806,-0.02,-0.02
2009,56,0.098,0.453,0.353
2010,56,0.952,-0.015,-0.013
2011,56,0.806,0.067,0.054
2012,56,0.874,-0.056,-0.035
2013,56,0.583,0.214,0.121
2014,56,0.52,0.306,0.141
2015,56,0.276,0.423,0.237
